id_reserva_servicio,id_reserva,id_tipo_servicio,cantidad,fecha_reserva_sev
1,1,2,2,12/10/2024
2,2,5,3,03/01/2024
3,3,6,3,19/07/2024
4,4,6,2,31/10/2024
5,5,2,2,30/03/2024
6,6,3,1,14/07/2024
7,7,3,3,05/09/2024
8,8,4,1,22/02/2024
9,9,6,1,28/09/2024
10,10,6,1,15/12/2024
11,11,3,3,13/08/2024
12,12,6,1,22/11/2024
13,13,5,1,28/05/2024
14,14,4,2,25/04/2024
15,15,2,2,19/12/2024
16,16,1,2,27/11/2024
17,17,6,1,18/12/2024
18,18,4,3,22/08/2024
19,19,4,3,15/03/2024
20,20,1,2,06/10/2024
21,21,1,3,24/06/2024
22,22,3,1,12/11/2024
23,23,1,3,06/07/2024
24,24,4,3,19/03/2024
25,25,2,2,25/01/2024
26,26,1,3,26/06/2024
27,27,5,3,22/04/2024
28,28,1,1,22/05/2024
29,29,5,3,27/07/2024
30,30,5,2,05/02/2024
31,31,2,3,13/07/2024
32,32,3,2,24/01/2024
33,33,3,1,14/04/2024
34,34,3,2,09/07/2024
35,35,1,1,11/03/2024
36,36,5,2,23/02/2024
37,37,3,1,14/02/2024
38,38,3,3,16/03/2024
39,39,1,1,09/06/2024
40,40,5,3,21/08/2024
41,41,4,1,28/02/2024
42,42,2,1,25/03/2024
43,43,4,2,19/12/2024
44,44,5,1,31/07/2024
45,45,5,1,11/11/2024
46,46,2,3,17/09/2024
47,47,1,3,23/04/2024
48,48,2,2,09/07/2024
49,49,2,1,05/08/2024
50,50,6,1,20/12/2024
51,51,3,1,31/05/2024
52,52,1,3,02/09/2024
53,53,4,1,08/03/2024
54,54,4,3,11/02/2024
55,55,2,3,11/08/2024
56,56,3,2,04/12/2024
57,57,1,1,23/06/2024
58,58,6,1,24/02/2024
59,59,4,3,16/10/2024
60,60,3,2,15/04/2024
61,61,6,1,29/03/2024
62,62,1,2,22/05/2024
63,63,2,1,30/09/2024
64,64,3,2,18/09/2024
65,65,4,3,23/07/2024
66,66,1,1,01/12/2024
67,67,4,1,11/11/2024
68,68,1,2,19/03/2024
69,69,5,3,06/04/2024
70,70,4,1,22/03/2024
71,71,4,1,05/10/2024
72,72,2,1,13/09/2024
73,73,2,3,23/12/2024
74,74,4,3,20/11/2024
75,75,6,3,05/10/2024
76,76,2,1,22/12/2024
77,77,2,2,15/07/2024
78,78,5,3,14/04/2024
79,79,2,2,13/03/2024
80,80,2,2,27/01/2024
81,81,2,2,24/03/2024
82,82,6,3,06/10/2024
83,83,6,2,07/01/2024
84,84,4,3,04/05/2024
85,85,5,2,19/03/2024
86,86,1,2,29/02/2024
87,87,5,2,24/03/2024
88,88,5,3,01/11/2024
89,89,5,1,09/08/2024
90,90,5,1,29/05/2024
91,91,2,2,19/07/2024
92,92,2,1,31/03/2024
93,93,2,2,22/08/2024
94,94,4,2,26/10/2024
95,95,1,1,14/11/2024
96,96,3,1,11/11/2024
97,97,3,2,08/03/2024
98,98,2,3,03/10/2024
99,99,2,1,03/03/2024
100,100,1,2,29/04/2024
